#layer 1	layer 2	layer 3	layer 4	layer 5	layer 6	layer 7	layer 8	BandID	phiID
1064	1046	1065	1047	1047	1047	1047	1047	21	18
1064	1046	1065	1047	1047	1047	1048	1048	21	18
1064	1046	1065	1047	1065	1065	1047	1047	21	12
1064	1046	1065	1047	1065	1065	1048	1048	21	12
1064	1064	1065	1065	1065	1065	1047	1047	21	4
1064	1064	1065	1065	1065	1065	1048	1048	21	4
1029	1011	1029	1011	1029	1029	1012	1012	22	57
1029	1011	1029	1011	1030	1030	1012	1012	22	57
1029	1029	1029	1029	1029	1029	1012	1012	22	52
1029	1029	1029	1029	1029	1029	1030	1030	22	46
1029	1029	1029	1029	1030	1030	1012	1012	22	52
1029	1029	1029	1029	1030	1030	1030	1030	22	46
1047	1029	1047	1029	1029	1029	1030	1030	22	41
1047	1029	1047	1029	1030	1030	1030	1030	22	41
1047	1029	1047	1029	1047	1047	1030	1030	22	35
1047	1029	1047	1029	1048	1048	1030	1030	22	35
1047	1047	1047	1047	1047	1047	1030	1030	22	29
1047	1047	1047	1047	1047	1047	1048	1048	22	24
1047	1047	1047	1047	1048	1048	1030	1030	22	29
1047	1047	1047	1047	1048	1048	1048	1048	22	24
1065	1047	1065	1047	1047	1047	1048	1048	22	18
1065	1047	1065	1047	1048	1048	1048	1048	22	18
1065	1047	1065	1047	1065	1065	1048	1048	22	12
1065	1047	1065	1047	1066	1066	1048	1048	22	12
1065	1065	1065	1065	1065	1065	1048	1048	22	4
1065	1065	1065	1065	1066	1066	1048	1048	22	4
1029	1011	1030	1012	1030	1030	1012	1012	23	57
1029	1011	1030	1012	1030	1030	1013	1013	23	57
1029	1029	1030	1030	1030	1030	1012	1012	23	52
1029	1029	1030	1030	1030	1030	1013	1013	23	52
1029	1029	1030	1030	1030	1030	1030	1030	23	46
1029	1029	1030	1030	1030	1030	1031	1031	23	46
1047	1029	1048	1030	1030	1030	1030	1030	23	41
1047	1029	1048	1030	1030	1030	1031	1031	23	41
1047	1029	1048	1030	1048	1048	1030	1030	23	35
1047	1029	1048	1030	1048	1048	1031	1031	23	35
